varCode,comment,template
"population_val_c2011_all","TOTAL POPULATION","{place_name} has the {ordinalSuffix} {rankIsNegative?smallest:largest} population in the UK, with {abVal} inhabitants."
"population_val_change_all","POPULATION CHANGE","Since 2010, {place_name} has seen the {ordinalSuffix} largest population  {rankIsNegative?decrease:increase}  in the UK, with a change of {abVal}%."
"age_perc_c2011_a65plus","PROPORTION OVER 65","{place_name} has the {ordinalSuffix} highest proportion of residents ({abVal}%) {rankIsNegative?under:over} the age of 65 in the UK."
"age_perc_change_a65plus","PROPORTION OVER 65 CHANGE","In the last ten years, {place_name} has seen the UK's {ordinalSuffix} greatest {rankIsNegative?decrease:increase} in the proportion of residents over the age of 65 ({abVal}%)."
"age_perc_c2011_a015","PROPORTION UNDER 16","{place_name} has the {ordinalSuffix} {rankIsNegative?lowest:highest} proportion of residents ({abVal}%) under the age of 16 in the UK."
"age_perc_change_a015","PROPORTION UNDER 16 CHANGE","{place_name} has seen the {ordinalSuffix} greatest increase in the proportion of residents ({abVal}%) {rankIsNegative?under:over} the age of 16 in the UK."
"medage_val_c2011_median","MEDIAN AGE","{place_name} has the {ordinalSuffix} {rankIsNegative?lowest:highest} median age ({abVal}) in the UK."
"medage_val_change_median","MEDIAN AGE CHANGE","In the last ten years, {place_name} has seen the UK's {ordinalSuffix} greatest  {rankIsNegative?decrease:increase} in residents' median age ({abVal})."
"density_val_c2011_density","POPULATION DENSITY","{place_name} is the {ordinalSuffix} {rankIsNegative?least:most} densely populated part of the UK, with {abVal} inhabitants per hectare."
"economic_perc_c2011_unemployed","UNEMPLOYMENT","{place_name} has the {ordinalSuffix} {rankIsNegative?lowest:highest} rate of unemployment in the UK, with {abVal}% out of work."
"economic_perc_change_unemployed","UNEMPLOYMENT CHANGE","In the last ten years, {place_name} has seen the UK's {ordinalSuffix} greatest  {rankIsNegative?decrease:increase} in rate of unemployment ({abVal}%)."
"economic_perc_c2011_student","STUDENTS","{place_name} has the {ordinalSuffix} {rankIsNegative?lowest:highest} proportion of students in the UK, with {abVal}% currently studying."
"economic_perc_change_student","STUDENTS CHANGE","In the last ten years, {place_name} has seen the UK's {ordinalSuffix} greatest  {rankIsNegative?decrease:increase} in the propotion of students ({abVal}%)."
"economic_perc_c2011_carer","CARER","{place_name} has the {ordinalSuffix} {rankIsNegative?lowest:highest} proportion of carers in the UK, at {abVal}%."
"economic_perc_change_carer","CARER CHANGE","In the last ten years, {place_name} has seen the UK's {ordinalSuffix} greatest  {rankIsNegative?decrease:increase} in the proportion of carers ({abVal}%)."
"economic_perc_c2011_retired","RETIRED","{place_name} has the {ordinalSuffix} {rankIsNegative?lowest:highest} proportion of retirees in the UK ({abVal}%)."
"economic_perc_change_retired","RETIRED CHANGE ","In the last ten years, {place_name} has seen the UK's {ordinalSuffix} greatest  {rankIsNegative?decrease:increase} in the proportion of retirees ({abVal}%)."
"economic_perc_c2011_inactive","INACTIVE","{place_name} has the {ordinalSuffix} {rankIsNegative?lowest:highest} rate of economic inactivity in the UK ({abVal}%)."
"economic_perc_change_inactive","INACTIVE CHANGE","In the last ten years, {place_name} has seen the UK's {ordinalSuffix} greatest  {rankIsNegative?decrease:increase} in rate of economic inactivity ({abVal}%)."
"ethnicity_perc_c2011_white","ETHNICITY WHITE","{place_name} is the UK area with the {ordinalSuffix} {rankIsNegative?lowest:highest} proportion of white residents ({abVal}%)."
"ethnicity_perc_change_white","ETHNICITY WHITE CHANGE","In the last ten years, {place_name} has seen the UK's {ordinalSuffix} greatest  {rankIsNegative?decrease:increase} in proportion of white residents ({abVal}%)."
"ethnicity_perc_c2011_black","ETHNICITY BLACK","{place_name} is the UK area with the {ordinalSuffix} {rankIsNegative?lowest:highest} proportion of black residents ({abVal}%)."
"ethnicity_perc_change_black","ETHNICITY BLACK CHANGE","In the last ten years, {place_name} has seen the UK's {ordinalSuffix} greatest  {rankIsNegative?decrease:increase} in proportion of black residents ({abVal}%)."
"ethnicity_perc_c2011_asian","ETHNICITY ASIAN","{place_name} is the UK area with the {ordinalSuffix} {rankIsNegative?lowest:highest} proportion of asian residents ({abVal}%)."
"ethnicity_perc_change_asian","ETHNICITY ASIAN CHANGE","In the last ten years, {place_name} has seen the UK's {ordinalSuffix} greatest  {rankIsNegative?decrease:increase} in proportion of asian residents ({abVal}%)."
"ethnicity_perc_c2011_mixed","ETHNICITY MIXED","{place_name} is the UK area with the {ordinalSuffix} {rankIsNegative?lowest:highest} proportion of residents with mixed ethnicity ({abVal}%)."
"ethnicity_perc_change_mixed","ETHNICITY MIXED CHANGE","In the last ten years, {place_name} has seen the UK's {ordinalSuffix} greatest  {rankIsNegative?decrease:increase} in proportion of residents with mixed ethnicity ({abVal}%)."
"socialgrade_perc_c2011_ab","SOCIAL UPPER MIDDLE","{place_name} is the UK area with the {ordinalSuffix} {rankIsNegative?lowest:highest} proportion of upper middle class residents ({abVal}%)."
"socialgrade_perc_change_ab","SOCIAL UPPER MIDDLE CHANGE","In the last ten years, {place_name} has seen the UK's {ordinalSuffix} greatest  {rankIsNegative?decrease:increase} in proportion of upper middle class residents ({abVal}%)."
"socialgrade_perc_c2011_c1","SOCIAL LOWER MIDDLE","{place_name} is the UK area with the {ordinalSuffix} {rankIsNegative?lowest:highest} proportion of lower middle class residents ({abVal}%)."
