varCode,comment,template
"population_val_c2011_all","TOTAL POPULATION"," The current population of {placeName} is {val}; {moreLess} the national average."
"population_val_change_all","POPULATION CHANGE"," Since the 2001 Census, the population of {placeName} has {valIsNegative?decreased:increased} by {absVal}%; {moreLess} the average across all local authorities."
"age_perc_c2011_a65plus","PROPORTION OVER 65"," Currently, {val}% of residents here are over the age of 65; {moreLess} the national average."
"density_val_c2011_density","POPULATION DENSITY"," The current population density here is {val} people per hectare; {moreLess} the national average."
"density_val_change_density","DENSITY CHANGE",""
"age_perc_change_a65plus","PROPORTION OVER 65 CHANGE"," In the last ten years, the proportion of over 65s here has {valIsNegative?decreased:increased} by {absVal}%; {moreLess} the average across all local authorities."
"age_perc_c2011_a015","PROPORTION UNDER 16"," Currently, {val}% of residents here are under the age of 16; {moreLess} the average across the UK."
"age_perc_change_a015","PROPORTION UNDER 16 CHANGE"," In the last ten years, the proportion of under 16s here has {valIsNegative?decreased:increased} by {absVal}%; {moreLess} the average across the UK."
"medage_val_c2011_median","MEDIAN AGE"," The current median age of residents here is {val} years old; {moreLess} the national average."
"medage_val_change_median","MEDIAN AGE CHANGE"," Since the last Census, the median age here has {valIsNegative?decreased:increased} by {absVal} years; {moreLess} the average across all local authorities."
"economic_perc_c2011_unemployed","UNEMPLOYMENT"," The current rate of unemployment here is {val}%; {moreLess} the national average."
"economic_perc_change_unemployed","UNEMPLOYMENT CHANGE"," Since the last Census, the rate of unemployment here has {valIsNegative?decreased:increased} by {absVal}%; {moreLess} the national average."
"economic_perc_c2011_student","STUDENTS"," Currently, {val}% of residents here are students; {moreLess} the average across the UK."
"economic_perc_change_student","STUDENTS CHANGE"," In the last ten years, the proportion of students here has {valIsNegative?decreased:increased} by {absVal}%; {moreLess} the average across the UK."
"economic_perc_c2011_carer","CARER"," Currently, {val}% of residents here are carers; {moreLess} the national average."
"economic_perc_change_carer","CARER CHANGE"," In the last ten years, the proportion of carers here has {valIsNegative?decreased:increased} by {absVal}%; {moreLess} the average across the UK."
"economic_perc_c2011_retired","RETIRED"," Currently, {val}% of residents here are retired; {moreLess} the national average."
"economic_perc_change_retired","RETIRED CHANGE"," In the last ten years, the proportion of retirees here has {valIsNegative?decreased:increased} by {absVal}%; {moreLess} the average across the UK."
"economic_perc_c2011_inactive","INACTIVE"," The current rate of economic inactivity here is {val}%; {moreLess} the average across the UK."
"economic_perc_change_inactive","INACTIVE CHANGE"," In the last ten years, the rate of economic inactivity here has {valIsNegative?decreased:increased} by {absVal}%; {moreLess} the average across the UK."
"ethnicity_perc_c2011_white","ETHNICITY WHITE"," Currently, {val}% of residents here are white; {moreLess} the national average."
"ethnicity_perc_change_white","ETHNICITY WHITE CHANGE"," Since the last Census, the proportion of white residents here has {valIsNegative?decreased:increased} by {absVal}%; {moreLess} the UK average."
"ethnicity_perc_c2011_black","ETHNICITY BLACK"," Currently, {val}% of residents here are black; {moreLess} the average across the UK."
"ethnicity_perc_change_black","ETHNICITY BLACK CHANGE"," In the last ten years, the proportion of black residents here has {valIsNegative?decreased:increased} by {absVal}%; {moreLess} the average across the UK."
"ethnicity_perc_c2011_asian","ETHNICITY ASIAN"," Currently, {val}% of residents here are Asian; {moreLess} the national average."
"ethnicity_perc_change_asian","ETHNICITY ASIAN CHANGE"," Since the 2001 Census, the proportion of Asian residents here has {valIsNegative?decreased:increased} by {absVal}%; {moreLess} the average across all local authorities."
"ethnicity_perc_c2011_mixed","ETHNICITY MIXED"," Currently, {val}% of residents here are of mixed ethnicity; {moreLess} the national average."
"ethnicity_perc_change_mixed","ETHNICITY MIXED CHANGE"," In the last ten years, the proportion of residents of mixed ethnicity here has {valIsNegative?decreased:increased} by {absVal}%; {moreLess} the national average."
"socialgrade_perc_c2011_ab","SOCIAL UPPER MIDDLE"," The current proportion of upper middle class residents here is {val}%; {moreLess} the average across the UK."
"socialgrade_perc_change_ab","SOCIAL UPPER MIDDLE CHANGE"," In the last ten years, the proportion of upper middle class residents here has {valIsNegative?decreased:increased} by {absVal}%; {moreLess} the national average."
"socialgrade_perc_c2011_c1","SOCIAL LOWER MIDDLE"," The current proportion of lower middle class residents here is {val}%; {moreLess} the average across all local authorities."
"socialgrade_perc_change_c1","SOCIAL LOWER MIDDLE CHANGE"," In the last ten years, the proportion of lower middle class residents here has {valIsNegative?decreased:increased} by {absVal}%; {moreLess} the national average."
"socialgrade_perc_c2011_c2","SOCIAL SKILLED WORKER"," The current proportion of skilled working class residents here is {val}%; {moreLess} the national average."
"socialgrade_perc_change_c2","SOCIAL SKILLED WORKER CHANGE"," In the last ten years, the amount of skilled working class residents here has {valIsNegative?decreased:increased} by {absVal}%; {moreLess} the average across all local authorities"
"socialgrade_perc_c2011_de","SOCIAL WORKING"," The current proportion of working class or non-working residents here is {val}%; {moreLess} the national average."
"socialgrade_perc_change_de","SOCIAL WORKING CHANGE"," Since the 2001 Census, the proportion of working class or non-working residents here has {valIsNegative?decreased:increased} by {absVal}%; {moreLess} the average across all local authorities."
"tenure_perc_c2011_owned","TENURE OWNERSHIP"," The current rate of home ownership here is {val}%; {moreLess} the average across the UK."
"tenure_perc_change_owned","TENURE OWNERSHIP CHANGE"," In the last ten years, the rate of home ownership here has {valIsNegative?decreased:increased} by {absVal}%; {moreLess} the national average."
"tenure_perc_c2011_rentsocial","TENURE SOCIAL RENT","Currently, {val}% of residents here live in social housing; {moreLess} the national average."
"tenure_perc_change_rentsocial","TENURE SOCIAL RENT CHANGE"," In the last ten years, the amount of social housing here has {valIsNegative?decreased:increased} by {absVal}%; {moreLess} the average across all local authorities."
